ANALY_CSCS,CSCS-LCG2_DATADISK
ANALY_CYF,CYFRONET-LCG2_DATADISK
ANALY_DESY-HH,DESY-HH_DATADISK
ANALY_DESY-ZN,DESY-ZN_DATADISK
ANALY_IEPSAS-Kosice,IEPSAS-KOSICE_DATADISK
ANALY_FMPhI-UNIBA,FMPHI-UNIBA_DATADISK
ANALY_FREIBURG,UNI-FREIBURG_DATADISK
ANALY_FZK,FZK-LCG2_DATADISK
ANALY_FZU,FZU-IPV6_DATADISK
ANALY_GOEGRID,GOEGRID_DATADISK
ANALY_HEPHY-UIBK,HEPHY-UIBK_DATADISK
ANALY_LRZ,LRZ-LMU_DATADISK 
ANALY_MPPMU,MPPMU_DATADISK
ANALY_PSNC,PSNC_DATADISK
ANALY_DRESDEN,TUDRESDEN-ZIH_DATADISK
ANALY_wuppertalprod,WUPPERTALPROD_DATADISK
