ANALY_RALPP_SL6,UKI-SOUTHGRID-RALPP_DATADISK
ANALY_T2_UK_London_Brunel,UKI-LT2-BRUNEL_DATADISK
ANALY_RAL_SL6,RAL-LCG2_DATADISK
ANALY_BHAM_SL6,UKI-SOUTHGRID-BHAM-HEP_DATADISK
ANALY_CAM_SL6,UKI-SOUTHGRID-CAM-HEP_DATADISK
ANALY_ECDF_SL6,UKI-SCOTGRID-ECDF_DATADISK
ANALY_GLASGOW_SL6,UKI-SCOTGRID-GLASGOW_DATADISK
ANALY_LANCS_SL6,UKI-NORTHGRID-LANCS-HEP_DATADISK
ANALY_LIV_SL6,UKI-NORTHGRID-LIV-HEP_DATADISK
ANALY_MANC_SL6,UKI-NORTHGRID-MAN-HEP_DATADISK
ANALY_OX_SL6,UKI-SOUTHGRID-OX-HEP_DATADISK
ANALY_QMUL_SL6,UKI-LT2-QMUL_DATADISK
ANALY_RHUL_SL6,UKI-LT2-RHUL_DATADISK
ANALY_SHEF_SL6,UKI-NORTHGRID-SHEF-HEP_DATADISK
ANALY_UCL_SL6,UKI-LT2-UCL-HEP_DATADISK
