ANALY_IEPSAS-Kosice,IEPSAS-KOSICE
ANALY_DESY-ZN,DESY-ZN
ANALY_DESY-HH,DESY-HH
ANALY_FZK,FZK-LCG2
ANALY_FMPhI-UNIBA,FMPHI-UNIBA

ANALY_RAL_SL6,RAL-LCG2
ANALY_RHUL_SL6,UKI-LT2-RHUL
ANALY_QMUL_SL6,UKI-LT2-QMUL
ANALY_UCL_SL6,UKI-LT2-UCL-HEP
ANALY_LANCS_SL6,UKI-NORTHGRID-LANCS-HEP
ANALY_LIV_SL6,UKI-NORTHGRID-LIV-HEP
ANALY-MANC-SL6,UKI-NORTHGRID-MAN-HEP
ANALY_SHEF_SL6,UKI-NORTHGRID-SHEF-HEP
ANALY_ECDF_SL6,UKI-SCOTGRID-ECDF
ANALY_GLASGOW_SL6,UKI-SCOTGRID-GLASGOW
ANALY_OX_SL6,UKI-SOUTHGRID-CAM-HEP
ANALY_CAM_SL6,UKI-SOUTHGRID-CAM-HEP

ANALY_LPSC,IN2P3-LPSC
ANALY_GRIF-IRFU,GRIF-IRFU
ANALY_IN2P3-CC,IN2P3-CC
ANALY_CPPM,IN2P3-CPPM
ANALY_LAPP,IN2P3-LAPP
ANALY_GRIF-LPNHE,GRIF-LPNHE
ANALY_ROMANIA07,RO-07-NIPNE
ANALY_TOKYO,TOKYO-LCG2
ANALY_LPC,IN2P3-LPC
ANALY_GRIF-LAL,GRIF-LAL

ANALY_PIC_SL6,PIC
ANALY_TRIUMF,TRIUMF-LCG2
ANALY_SARA,SARA-MATRIX
ANALY_INFN-T1,INFN-T1
ANALY_BNL_CLOUD,BNL-OSG2
ANALY_ARC,NDGF-T1
ANALY_TAIWAN_SL6,TAIWAN-LCG2
